id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87444380;Blonville-sur-Mer - Benerville;BWB;49.3313919; 0.0356856;14079;BLONVILLE-SUR-MER
87726471;Boën-sur-Lignon;BOE;45.7413612; 4.0051544;42019;BOEN-SUR-LIGNON
87172049;Bogny-sur-Meuse;BYU;49.8583117; 4.7632317;8081;BOGNY-SUR-MEUSE
87296269;Bohain-en-Vermandois;BHI;49.9884143; 3.4431289;2095;BOHAIN-EN-VERMANDOIS
87684407;Boigneville;BWI;48.342078; 2.3789793;91069;BOIGNEVILLE
87381079;Bois-Colombes;BCO;48.91348; 2.27256;92009;BOIS-COLOMBES
87721787;Bois-d'Oingt - Légny;BDO;45.9065839; 4.575043;69111;LEGNY
87682203;Bois-le-Roi;BJR;48.475567; 2.691606;77037;BOIS-LE-ROI
87342071;Boisleux-au-Mont;BLX;50.2104665; 2.771855;62151;BOISLEUX-AU-MONT
87543082;Boisseaux;BAX;48.2566238; 1.9727681;45037;BOISSEAUX
87645184;Boisset;BCL;44.786038; 2.2497669;15021;BOISSET
87682518;Boissise-le-Roi;BKR;48.529319; 2.572953;77040;BOISSISE-LE-ROI
87381152;Boissy-l'Aillerie;BLA;49.07598; 2.02513;95078;BOISSY-L'AILLERIE
87764357;Bollène La Croisière;BLN;44.271525; 4.707908;84019;BOLLENE
87182709;Bollwiller;BOW;47.8569694; 7.2672555;68043;BOLLWILLER
87142224;Bologne;BOG;48.1986877; 5.1342228;52058;BOLOGNE
87113407;Bondy;BDY;48.894208; 2.4786;93010;BONDY
87478065;Bonnemain;BMV;48.4764049; -1.7654125;35029;BONNEMAIN
87545731;Bonneval;BOJ;48.1862958; 1.3861845;28051;BONNEVAL
87746339;Bonneville;BON;46.077772; 6.416524;74042;BONNEVILLE
87415893;Bonnières-sur-Seine;BNR;49.038788; 1.582205;78089;BONNIERES-SUR-SEINE
87745596;Bons-en-Chablais;BAB;46.270046; 6.366246;74043;BONS-EN-CHABLAIS
87726414;Bonson;BSN;45.5221941; 4.2163084;42022;BONSON
87276444;Boran-sur-Oise;BRN;49.1671348; 2.362537;60086;BORAN-SUR-OISE
87581009;Bordeaux Saint-Jean;BXJ;44.825873; -0.556697;33063;BORDEAUX
87491019;Bords;BOR;45.8944625; -0.7985436;17053;BORDS
87276717;Bornel - Belle-Église;BBI;49.19471; 2.20717;60088;BORNEL
87481200;Bouaye;BLQ;47.1380806; -1.6810992;44018;BOUAYE
87673095;Boucau;BUU;43.5234217; -1.4905872;64140;BOUCAU
87345389;Bouchain;BAK;50.2780892; 3.3319096;59092;BOUCHAIN
87775346;Boucoiran-et-Nozières;BKW;43.9926943; 4.187634;30046;BOUCOIRAN-ET-NOZIERES
87276485;Bouffémont - Moisselles;BOF;49.04514; 2.32272;95091;BOUFFEMONT
87382440;Bougival;BGV;48.8542135; 2.1323749;78126;LA CELLE-SAINT-CLOUD
87543181;Boulainvilliers;BWR;48.85645; 2.275149;75116;PARIS-16E-ARRONDISSEMENT
87725473;Boulazac;BZC;45.172291; 0.772645;24053;BOULAZAC
87317016;Boulogne Tintelleries;BKI;50.72729; 1.60904;62160;BOULOGNE-SUR-MER
87317586;Boulogne-sur-Mer;BEM;50.7157; 1.60964;62160;BOULOGNE-SUR-MER
87757534;Boulouris sur Mer;BOU;43.4163471; 6.8082519;83118;SAINT-RAPHAEL
